,Ahlgren Scott D.,Albin Pierre,Balogh József,Baryshnikov Yuliy M.,Berwick-Evans Daniel,Boca Florin-Petre,Bradlow Steven Benjamin,Bronski Jared C.,Cooney Daniel B.,De Ville R E Lee,Dey Partha Sarathi,Di Francesco Philippe,Dodd Christopher,Dunfield Nathan M.,Dutta Sankar Prasad,Duursma Iwan Maynard,Erdoğan Mehmet Burak,Fadina Tolulope,Feng Runhuan,Fernandes Rui Loja,Ford Kevin B.,Guzman Rosemary K.,Haboush William J.,Heller Jeremiah Ben,Hinkkanen Aimo,Hirani Anil N.,Hung Pei-Ken,Hur Vera Mikyoung,Ivanov Sergei Vladimirovich,Janda Felix,Jing Xiaochen,Junge Marius,Katz Sheldon H.,Kedem Rinat,Kerman Ely,Kirkpatrick Kay Lene,Kirr Eduard,Kostochka Alexandr V.,Kutzarova Denka N.,La Nave Gabriele,Laugesen Richard Snyder,Leditzky Felix,Lerman Eugene M.,Liu Yuan,Li Xiaochun,Mc Carthy Randy,Mineyev Igor,Nikolaev Igor G.,Oikhberg Timur,Pascaleff James Thomas,Quan Zhiyu,Rapti Zoi,Rasmussen Jacob,Rasmussen Sarah Dean,Rezk Charles W.,Reznick Bruce,Song Renming,Sowers Richard B.,Stojanoska Vesna,Thorner Jesse,Tolman Susan,Tumanov Alexander,Tyson Jeremy T.,Tzirakis Nikolaos,Wei Wei,Wu Xuan,Yong Alexander T F.,Young Amanda,Zaharescu Alexandru,Zharnitsky Vadim
Ahlgren Scott D.,32,3,9,8,2,9,5,3,0,1,0,4,2,4,4,3,9,0,1,9,17,0,2,5,7,0,1,4,8,2,0,10,4,5,3,2,0,3,4,5,5,0,5,2,3,2,2,0,5,0,0,0,3,1,3,10,6,4,3,9,5,3,8,5,0,0,13,0,23,3
Albin Pierre,3,17,2,4,3,3,1,1,0,2,2,2,1,1,1,2,4,0,2,4,4,1,1,2,3,1,3,5,1,4,0,8,2,4,2,3,2,0,2,5,5,0,4,3,3,1,1,1,0,3,0,1,3,2,1,4,1,1,1,3,3,4,3,3,0,0,5,3,4,1
Balogh József,9,2,48,10,2,4,3,3,0,3,2,4,2,3,4,5,7,0,0,5,13,0,1,2,4,2,0,4,6,2,0,13,3,4,2,0,0,22,5,2,5,1,7,1,2,1,1,0,7,0,0,1,1,1,2,9,8,8,2,5,3,2,6,6,0,1,11,0,10,3
Baryshnikov Yuliy M.,8,4,10,49,1,5,2,8,0,6,2,5,2,2,1,1,8,0,1,5,9,0,0,1,4,1,2,8,3,2,0,11,4,5,2,3,1,4,4,3,4,2,7,1,2,1,3,1,2,0,0,1,2,1,0,5,9,6,1,4,5,5,6,6,1,1,7,1,11,8
Berwick-Evans Daniel,2,3,2,1,8,2,0,0,0,0,1,2,1,4,2,2,2,0,1,4,1,1,2,3,1,1,1,1,2,4,0,3,2,2,3,2,2,0,1,2,0,1,4,2,1,3,1,1,0,2,0,1,3,2,3,3,1,1,3,2,3,0,2,1,0,0,3,2,2,0
Boca Florin-Petre,9,3,4,5,2,35,5,3,0,3,1,3,1,3,3,2,7,0,1,9,15,0,1,2,8,0,1,4,5,2,0,17,5,3,2,2,1,3,8,2,8,1,8,2,4,3,2,1,9,2,0,0,1,0,1,7,6,4,1,7,5,5,7,5,0,0,8,0,24,3
Bradlow Steven Benjamin,5,1,3,2,0,5,23,2,0,1,0,2,2,2,3,0,4,0,0,6,7,0,2,2,4,0,3,3,6,0,0,9,3,2,2,2,0,2,1,3,5,2,5,1,2,2,4,1,4,0,0,0,0,0,1,5,5,2,1,3,8,4,6,1,0,0,5,0,12,2
Bronski Jared C.,3,1,3,8,0,3,2,26,0,6,1,4,1,1,0,0,9,0,0,2,1,0,1,0,1,0,1,8,2,0,0,3,3,3,0,3,2,1,1,1,2,1,4,0,1,0,1,0,1,0,0,4,1,0,0,2,3,4,0,2,3,2,1,7,0,0,2,1,3,8
Cooney Daniel B.,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
De Ville R E Lee,1,2,3,6,0,3,1,6,0,24,1,3,1,0,0,0,5,0,0,1,2,0,0,0,2,1,0,3,1,0,0,3,1,2,0,4,1,1,1,0,1,0,4,0,1,0,1,0,2,0,0,2,0,0,0,2,2,2,0,2,1,1,1,5,0,0,1,1,1,6
