,Unnamed: 0,"Boca, Florin P.","Baryshnikov, Yuliy","Ahlgren, Scott","Albin, Pierre","Balogh, József","Biswas, Indranil","Barthel, Tobias","Bronski, Jared C.","Cooney, Daniel B.","Dey, Partha S.","Nijholt, Eddie","Di Francesco, Philippe","Cautis, Sabin","Dutta, S. P.","Erdoğan, M. Burak","Bellini, Fabio","Loja Fernandes, Rui","Ford, Kevin","Duursma, Iwan","Balaji, Vikraman","Gepner, David","Guzman, R. K.","Hinkkanen, Aimo","Choi, Beomjun","Wang, Minmiao","Feng, Runhuan","Hur, Vera Mikyoung","Ivanov, S. V.","Dunfield, Nathan M.","Kerman, Ely","Clader, Emily","Kirkpatrick, Kay","Lee, Kiryung","Kirr, E.","Katz, Sheldon","Kim, Jaehoon","Fan, Cunwei","Freitas, Pedro","Berwick-Evans, Daniel","Chen, Xuezhi","Ford, K.","Leditzky, Felix","Bauer, Kristine","Lam, Yeuk Hay Joshua","Yu, Haizi","Berg, I. D.","Quan, Zhiyu","Helemskii, A. Ya.","Rapti, Z.","Pascaleff, James","Hanselman, Jonathan","Rasmussen, Sarah Dean","Bergner, Julia E.","Matusevich, Laura Felicia","Matin, Hossein Nick Zinat","Panidapu, Apoorva","Ren, Yan-Xia","Beaudry, Agnès","Jang, Donghoon","Chrontsios Garitsis, Efstathios K.","Tumanov, Alexander","Chi, Yichun","Wu, Xuan","Hodges, Reuven","Lucia, Angelo","Erdoğan, M. B.","Wayne, C. E.","Basak, Debmalya"
0,"Boca, Florin P.",0.0024449877750611247,0.3333333333333333,0.125,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,0.047619047619047616,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.07692307692307693,0.5,1.0,1.0,1.0,0.2,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.25,0.5,0.5,1.0,1.0,1.0,0.25,1.0,0.125,0.25,1.0,1.0,0.25,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.005050505050505051
1,"Baryshnikov, Yuliy",0.3333333333333333,0.001644736842105263,1.0,0.09090909090909091,0.16666666666666666,0.25,0.5,0.3333333333333333,1.0,0.16666666666666666,0.1,0.5,1.0,1.0,0.16666666666666666,1.0,0.125,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.25,1.0,0.25,1.0,0.3333333333333333,0.14285714285714285,0.5,0.3333333333333333,0.14285714285714285,0.5,0.25,0.5,0.5,0.07692307692307693,0.125,0.5,1.0,0.5,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.09090909090909091,1.0,0.1,0.5,0.2,0.07692307692307693,0.125,1.0,0.5,0.09090909090909091,0.5,0.5,0.025,0.16666666666666666
2,"Ahlgren, Scott",0.125,1.0,0.0021008403361344537,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.07692307692307693,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.03571428571428571,1.0,0.25,0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.0136986301369863
3,"Albin, Pierre",1.0,0.09090909090909091,1.0,0.0016611295681063123,1.0,0.2,0.125,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.25,1.0,0.2,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.25,0.5,0.1111111111111111,0.14285714285714285,0.25,0.5,0.2,1.0,0.5,1.0,0.14285714285714285,0.2,0.1111111111111111,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.0,0.1,0.125,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,0.25
4,"Balogh, József",0.5,0.16666666666666666,1.0,1.0,0.000588235294117647,1.0,1.0,0.2,1.0,0.1,0.14285714285714285,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.05,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.25,1.0,1.0,0.3333333333333333,0.25,0.5,1.0,0.0035211267605633804,1.0,0.3333333333333333,1.0,0.3333333333333333,0.125,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.5,0.06666666666666667,0.5,1.0,1.0,0.1111111111111111
5,"Biswas, Indranil",1.0,0.25,1.0,0.2,1.0,0.003389830508474576,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,0.1,1.0,0.1111111111111111,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.16666666666666666,1.0,1.0,1.0,0.5,0.25,1.0,1.0,1.0,0.5
6,"Barthel, Tobias",1.0,0.5,0.3333333333333333,0.125,1.0,1.0,0.006060606060606061,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.5,1.0,0.05,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.058823529411764705,1.0,1.0,1.0,1.0,0.16666666666666666,0.14285714285714285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,"Bronski, Jared C.",0.5,0.3333333333333333,1.0,0.5,0.2,1.0,1.0,0.001579778830963665,0.5,0.3333333333333333,0.007518796992481203,1.0,1.0,1.0,0.037037037037037035,1.0,0.3333333333333333,1.0,0.25,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.01098901098901099,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.058823529411764705,1.0,0.5,1.0,0.125,0.25,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.011494252873563218,0.5,0.3333333333333333,1.0,1.0,0.5,0.5,0.5,0.2,1.0,0.5,0.25,0.5,1.0,1.0,0.2,0.5,0.1111111111111111,0.09090909090909091,0.14285714285714285
8,"Cooney, Daniel B.",1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.008264462809917356,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,"Dey, Partha S.",1.0,0.16666666666666666,1.0,1.0,0.1,1.0,1.0,0.3333333333333333,1.0,0.003215434083601286,0.2,0.5,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.2,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.09090909090909091,1.0,1.0,0.5,1.0,1.0,0.1,0.3333333333333333,1.0,1.0,1.0,1.0
