,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,DeVilleRELee,BradlowStevenBenjamin,AlbinPierre,AhlgrenScottD,DiFrancescoPhilippe,DunfieldNathanM,BaryshnikovYuliyM,CooneyDanielB,BronskiJaredC,BaloghJózsef,JungeMarius,IvanovSergeiVladimirovich,Berwick-EvansDaniel,HinkkanenAimo,DoddChristopher
1,RaptiZoi,HaboushWilliamJ,FernandesRuiLoja,BocaFlorin-Petre,KirkpatrickKayLene,GuzmanRosemaryK,DeyParthaSarathi,FadinaTolulope,ErdoğanMehmetBurak,KostochkaAlexandrV,KutzarovaDenkaN,LiuYuan,HiraniAnilN,TysonJeremyT,DuttaSankarPrasad
2,,HellerJeremiahBen,HungPei-Ken,DuursmaIwanMaynard,LeditzkyFelix,RasmussenJacob,SongRenming,FengRunhuan,HurVeraMikyoung,,OikhbergTimur,MineyevIgor,McCarthyRandy,,KedemRinat
3,,JandaFelix,KermanEly,FordKevinB,YoungAmanda,RasmussenSarahDean,SowersRichardB,JingXiaochen,KirrEduard,,,,RezkCharlesW,,LaNaveGabriele
4,,KatzSheldonH,LermanEugeneM,ReznickBruce,,,WeiWei,QuanZhiyu,LaugesenRichardSnyder,,,,StojanoskaVesna,,TumanovAlexander
5,,YongAlexanderTF,NikolaevIgorG,ThornerJesse,,,WuXuan,,LiXiaochun,,,,,,
6,,,PascaleffJamesThomas,ZaharescuAlexandru,,,,,TzirakisNikolaos,,,,,,
7,,,TolmanSusan,,,,,,ZharnitskyVadim,,,,,,
8,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,
