,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,Berwick-EvansDaniel,KermanEly,DeyParthaSarathi,AhlgrenScottD,DuttaSankarPrasad,HungPei-Ken,BaryshnikovYuliyM,KirrEduard,FadinaTolulope,FengRunhuan,JungeMarius,DiFrancescoPhilippe,BaloghJózsef,BronskiJaredC,CooneyDanielB,AlbinPierre,PascaleffJamesThomas,LeditzkyFelix
1,DoddChristopher,ThornerJesse,SongRenming,YongAlexanderTF,HaboushWilliamJ,KirkpatrickKayLene,BocaFlorin-Petre,,JingXiaochen,QuanZhiyu,KutzarovaDenkaN,KatzSheldonH,KostochkaAlexandrV,ErdoğanMehmetBurak,DeVilleRELee,LaNaveGabriele,RasmussenSarahDean,
2,DunfieldNathanM,TolmanSusan,SowersRichardB,ZaharescuAlexandru,HellerJeremiahBen,WuXuan,BradlowStevenBenjamin,,,WeiWei,OikhbergTimur,KedemRinat,,HurVeraMikyoung,RaptiZoi,LiuYuan,,
3,JandaFelix,,,,IvanovSergeiVladimirovich,YoungAmanda,DuursmaIwanMaynard,,,,,,,TzirakisNikolaos,,,,
4,MineyevIgor,,,,McCarthyRandy,,FernandesRuiLoja,,,,,,,ZharnitskyVadim,,,,
5,RasmussenJacob,,,,ReznickBruce,,FordKevinB,,,,,,,,,,,
6,RezkCharlesW,,,,StojanoskaVesna,,GuzmanRosemaryK,,,,,,,,,,,
7,,,,,,,HinkkanenAimo,,,,,,,,,,,
8,,,,,,,HiraniAnilN,,,,,,,,,,,
9,,,,,,,LaugesenRichardSnyder,,,,,,,,,,,
10,,,,,,,LermanEugeneM,,,,,,,,,,,
11,,,,,,,LiXiaochun,,,,,,,,,,,
12,,,,,,,NikolaevIgorG,,,,,,,,,,,
13,,,,,,,TumanovAlexander,,,,,,,,,,,
14,,,,,,,TysonJeremyT,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,,,
