,0
0,GuzmanRosemaryK
1,HaboushWilliamJ
2,KatzSheldonH
3,RasmussenSarahDean
4,DuursmaIwanMaynard
5,HiraniAnilN
6,FernandesRuiLoja
7,YoungAmanda
8,PascaleffJamesThomas
9,LiuYuan
10,NikolaevIgorG
11,DunfieldNathanM
12,TumanovAlexander
13,ReznickBruce
14,Berwick-EvansDaniel
15,RezkCharlesW
16,RasmussenJacob
17,BaryshnikovYuliyM
18,DiFrancescoPhilippe
19,McCarthyRandy
20,DoddChristopher
21,SowersRichardB
22,LermanEugeneM
23,LiXiaochun
24,LaNaveGabriele
25,AlbinPierre
26,HellerJeremiahBen
27,HinkkanenAimo
28,KedemRinat
29,FordKevinB
30,IvanovSergeiVladimirovich
31,TysonJeremyT
32,OikhbergTimur
33,KutzarovaDenkaN
34,AhlgrenScottD
35,YongAlexanderTF
36,KirrEduard
37,BocaFlorin-Petre
38,JandaFelix
39,TzirakisNikolaos
40,KirkpatrickKayLene
41,StojanoskaVesna
42,DuttaSankarPrasad
43,BradlowStevenBenjamin
44,LaugesenRichardSnyder
45,RaptiZoi
46,SongRenming
47,DeyParthaSarathi
48,ErdoğanMehmetBurak
49,MineyevIgor
50,KostochkaAlexandrV
51,HurVeraMikyoung
52,BronskiJaredC
53,ZharnitskyVadim
54,ZaharescuAlexandru
55,BaloghJózsef
56,DeVilleRELee
57,JungeMarius
58,WuXuan
59,TolmanSusan
60,FengRunhuan
61,CooneyDanielB
62,WeiWei
63,QuanZhiyu
64,KermanEly
65,ThornerJesse
66,LeditzkyFelix
67,HungPei-Ken
68,JingXiaochen
69,FadinaTolulope
