,0,1,2,3,4,5,6,7
0,HaboushWilliamJ,WeiWei,FengRunhuan,PascaleffJamesThomas,FadinaTolulope,LeditzkyFelix,HungPei-Ken,FadinaTolulope
1,FernandesRuiLoja,FengRunhuan,WeiWei,RezkCharlesW,JingXiaochen,JungeMarius,KirrEduard,JingXiaochen
2,StojanoskaVesna,JandaFelix,QuanZhiyu,RasmussenJacob,WuXuan,DiFrancescoPhilippe,KirkpatrickKayLene,KostochkaAlexandrV
3,ReznickBruce,QuanZhiyu,SongRenming,GuzmanRosemaryK,LeditzkyFelix,FadinaTolulope,Berwick-EvansDaniel,BaloghJózsef
4,TumanovAlexander,RasmussenJacob,OikhbergTimur,HiraniAnilN,HungPei-Ken,DuursmaIwanMaynard,TolmanSusan,DiFrancescoPhilippe
5,FordKevinB,DunfieldNathanM,DeyParthaSarathi,DiFrancescoPhilippe,DeyParthaSarathi,HungPei-Ken,FengRunhuan,KedemRinat
6,TysonJeremyT,HellerJeremiahBen,SowersRichardB,KatzSheldonH,BaloghJózsef,JingXiaochen,QuanZhiyu,DuttaSankarPrasad
7,BaryshnikovYuliyM,PascaleffJamesThomas,KutzarovaDenkaN,YoungAmanda,KostochkaAlexandrV,KedemRinat,HellerJeremiahBen,KatzSheldonH
8,HinkkanenAimo,FadinaTolulope,HinkkanenAimo,RasmussenSarahDean,DuttaSankarPrasad,LaNaveGabriele,WeiWei,RaptiZoi
9,KatzSheldonH,JingXiaochen,LaugesenRichardSnyder,DunfieldNathanM,CooneyDanielB,AlbinPierre,JungeMarius,HaboushWilliamJ
10,LiXiaochun,TolmanSusan,HiraniAnilN,JandaFelix,DuursmaIwanMaynard,LiuYuan,YoungAmanda,ReznickBruce
11,RezkCharlesW,DuttaSankarPrasad,KostochkaAlexandrV,RaptiZoi,StojanoskaVesna,KermanEly,LeditzkyFelix,ZharnitskyVadim
12,DunfieldNathanM,RezkCharlesW,NikolaevIgorG,DoddChristopher,MineyevIgor,YoungAmanda,DunfieldNathanM,HurVeraMikyoung
13,BradlowStevenBenjamin,KermanEly,GuzmanRosemaryK,NikolaevIgorG,HellerJeremiahBen,RasmussenSarahDean,RezkCharlesW,FernandesRuiLoja
14,LermanEugeneM,MineyevIgor,IvanovSergeiVladimirovich,DeVilleRELee,SowersRichardB,KatzSheldonH,ErdoğanMehmetBurak,HellerJeremiahBen
15,McCarthyRandy,ThornerJesse,TysonJeremyT,DuursmaIwanMaynard,DeVilleRELee,LaugesenRichardSnyder,KedemRinat,WeiWei
16,SowersRichardB,DoddChristopher,TumanovAlexander,BronskiJaredC,McCarthyRandy,BocaFlorin-Petre,DiFrancescoPhilippe,McCarthyRandy
17,IvanovSergeiVladimirovich,RasmussenSarahDean,WuXuan,TumanovAlexander,IvanovSergeiVladimirovich,KostochkaAlexandrV,HaboushWilliamJ,StojanoskaVesna
18,AhlgrenScottD,StojanoskaVesna,BaloghJózsef,BaryshnikovYuliyM,YoungAmanda,ThornerJesse,McCarthyRandy,HiraniAnilN
19,HellerJeremiahBen,McCarthyRandy,LiXiaochun,MineyevIgor,RezkCharlesW,AhlgrenScottD,DuttaSankarPrasad,LermanEugeneM
20,YongAlexanderTF,ZaharescuAlexandru,BaryshnikovYuliyM,FengRunhuan,GuzmanRosemaryK,ZaharescuAlexandru,KatzSheldonH,FengRunhuan
21,RasmussenJacob,BaloghJózsef,DuursmaIwanMaynard,QuanZhiyu,HaboushWilliamJ,BaloghJózsef,FadinaTolulope,DuursmaIwanMaynard
22,LaNaveGabriele,IvanovSergeiVladimirovich,ReznickBruce,KedemRinat,RaptiZoi,PascaleffJamesThomas,StojanoskaVesna,TzirakisNikolaos
23,OikhbergTimur,KostochkaAlexandrV,BradlowStevenBenjamin,KermanEly,HiraniAnilN,BradlowStevenBenjamin,LiXiaochun,BradlowStevenBenjamin
24,GuzmanRosemaryK,CooneyDanielB,HaboushWilliamJ,WeiWei,DunfieldNathanM,KirkpatrickKayLene,JingXiaochen,YongAlexanderTF
25,LaugesenRichardSnyder,YongAlexanderTF,YoungAmanda,KirkpatrickKayLene,SongRenming,YongAlexanderTF,FernandesRuiLoja,IvanovSergeiVladimirovich
26,HiraniAnilN,LiuYuan,KatzSheldonH,KostochkaAlexandrV,BradlowStevenBenjamin,FernandesRuiLoja,LaugesenRichardSnyder,QuanZhiyu
27,KutzarovaDenkaN,AhlgrenScottD,DuttaSankarPrasad,ZharnitskyVadim,TolmanSusan,OikhbergTimur,MineyevIgor,NikolaevIgorG
28,AlbinPierre,HaboushWilliamJ,RaptiZoi,StojanoskaVesna,NikolaevIgorG,BaryshnikovYuliyM,SowersRichardB,LaNaveGabriele
29,DuursmaIwanMaynard,FordKevinB,FordKevinB,LiXiaochun,LiXiaochun,NikolaevIgorG,LermanEugeneM,ThornerJesse
30,BocaFlorin-Petre,Berwick-EvansDaniel,CooneyDanielB,CooneyDanielB,KermanEly,TumanovAlexander,SongRenming,LeditzkyFelix
31,NikolaevIgorG,LeditzkyFelix,McCarthyRandy,FernandesRuiLoja,LaugesenRichardSnyder,TysonJeremyT,BradlowStevenBenjamin,TolmanSusan
32,Berwick-EvansDaniel,GuzmanRosemaryK,StojanoskaVesna,BradlowStevenBenjamin,HinkkanenAimo,FordKevinB,BocaFlorin-Petre,GuzmanRosemaryK
33,LiuYuan,ReznickBruce,DiFrancescoPhilippe,LaNaveGabriele,OikhbergTimur,HiraniAnilN,LaNaveGabriele,HinkkanenAimo
34,KedemRinat,HinkkanenAimo,KirkpatrickKayLene,DeyParthaSarathi,KirkpatrickKayLene,KutzarovaDenkaN,IvanovSergeiVladimirovich,TumanovAlexander
35,DoddChristopher,NikolaevIgorG,FernandesRuiLoja,HurVeraMikyoung,DiFrancescoPhilippe,KirrEduard,JandaFelix,ErdoğanMehmetBurak
36,YoungAmanda,WuXuan,DeVilleRELee,WuXuan,ReznickBruce,LiXiaochun,WuXuan,CooneyDanielB
37,TolmanSusan,DuursmaIwanMaynard,HungPei-Ken,BaloghJózsef,KatzSheldonH,GuzmanRosemaryK,TumanovAlexander,LiXiaochun
38,RasmussenSarahDean,SongRenming,BocaFlorin-Petre,HungPei-Ken,KutzarovaDenkaN,DoddChristopher,DuursmaIwanMaynard,HungPei-Ken
39,PascaleffJamesThomas,LiXiaochun,AhlgrenScottD,AlbinPierre,TumanovAlexander,JandaFelix,ReznickBruce,BronskiJaredC
40,TzirakisNikolaos,DeyParthaSarathi,TzirakisNikolaos,LermanEugeneM,BaryshnikovYuliyM,HinkkanenAimo,GuzmanRosemaryK,AhlgrenScottD
