,0,1,2,3,4,5,6,7
0,GuzmanRosemaryK,DuttaSankarPrasad,DuttaSankarPrasad,CooneyDanielB,HungPei-Ken,GuzmanRosemaryK,WeiWei,HaboushWilliamJ
1,DuttaSankarPrasad,NikolaevIgorG,DoddChristopher,YoungAmanda,YoungAmanda,IvanovSergeiVladimirovich,YoungAmanda,WeiWei
2,NikolaevIgorG,HaboushWilliamJ,KatzSheldonH,WuXuan,McCarthyRandy,YoungAmanda,JingXiaochen,DuursmaIwanMaynard
3,HungPei-Ken,CooneyDanielB,CooneyDanielB,TumanovAlexander,WuXuan,MineyevIgor,HaboushWilliamJ,McCarthyRandy
4,HaboushWilliamJ,DoddChristopher,YongAlexanderTF,LaugesenRichardSnyder,LiuYuan,McCarthyRandy,YongAlexanderTF,BradlowStevenBenjamin
5,CooneyDanielB,DuursmaIwanMaynard,DuursmaIwanMaynard,LiuYuan,TumanovAlexander,WuXuan,McCarthyRandy,DoddChristopher
6,DoddChristopher,KatzSheldonH,LaNaveGabriele,FernandesRuiLoja,JandaFelix,LiuYuan,BradlowStevenBenjamin,LaNaveGabriele
7,DuursmaIwanMaynard,LaNaveGabriele,McCarthyRandy,LiXiaochun,FernandesRuiLoja,DuursmaIwanMaynard,DoddChristopher,YongAlexanderTF
8,IvanovSergeiVladimirovich,YongAlexanderTF,JandaFelix,HiraniAnilN,BradlowStevenBenjamin,BradlowStevenBenjamin,DuursmaIwanMaynard,JandaFelix
9,LaNaveGabriele,McCarthyRandy,PascaleffJamesThomas,KermanEly,PascaleffJamesThomas,JandaFelix,JandaFelix,PascaleffJamesThomas
10,McCarthyRandy,YoungAmanda,StojanoskaVesna,SongRenming,KermanEly,TumanovAlexander,TumanovAlexander,LiuYuan
11,MineyevIgor,JandaFelix,HellerJeremiahBen,SowersRichardB,HiraniAnilN,LaNaveGabriele,IvanovSergeiVladimirovich,TumanovAlexander
12,KatzSheldonH,PascaleffJamesThomas,YoungAmanda,McCarthyRandy,LiXiaochun,PascaleffJamesThomas,FernandesRuiLoja,FernandesRuiLoja
13,BradlowStevenBenjamin,BradlowStevenBenjamin,RasmussenJacob,DeyParthaSarathi,SowersRichardB,FernandesRuiLoja,RaptiZoi,KatzSheldonH
14,JandaFelix,StojanoskaVesna,WuXuan,KirrEduard,DeyParthaSarathi,KermanEly,LaugesenRichardSnyder,StojanoskaVesna
15,PascaleffJamesThomas,WuXuan,RezkCharlesW,ReznickBruce,DuursmaIwanMaynard,SowersRichardB,LiXiaochun,IvanovSergeiVladimirovich
16,LiuYuan,TumanovAlexander,TumanovAlexander,FengRunhuan,RezkCharlesW,HiraniAnilN,PascaleffJamesThomas,RezkCharlesW
17,TumanovAlexander,FernandesRuiLoja,LiuYuan,TolmanSusan,AlbinPierre,DeyParthaSarathi,HiraniAnilN,KermanEly
18,TysonJeremyT,HellerJeremiahBen,FernandesRuiLoja,RasmussenSarahDean,HellerJeremiahBen,LiXiaochun,JungeMarius,TolmanSusan
19,FernandesRuiLoja,KermanEly,KermanEly,BradlowStevenBenjamin,Berwick-EvansDaniel,RezkCharlesW,ZharnitskyVadim,HellerJeremiahBen
20,YongAlexanderTF,LiuYuan,HiraniAnilN,RezkCharlesW,KirrEduard,StojanoskaVesna,StojanoskaVesna,JingXiaochen
21,LiXiaochun,LiXiaochun,DeyParthaSarathi,Berwick-EvansDaniel,TolmanSusan,HellerJeremiahBen,RezkCharlesW,HiraniAnilN
22,StojanoskaVesna,TolmanSusan,LeditzkyFelix,AlbinPierre,StojanoskaVesna,TolmanSusan,LiuYuan,AlbinPierre
23,KermanEly,LaugesenRichardSnyder,SongRenming,JingXiaochen,FengRunhuan,FengRunhuan,HellerJeremiahBen,Berwick-EvansDaniel
24,HiraniAnilN,RezkCharlesW,SowersRichardB,ZharnitskyVadim,ReznickBruce,KirrEduard,MineyevIgor,LiXiaochun
25,DunfieldNathanM,HiraniAnilN,LiXiaochun,HinkkanenAimo,RasmussenSarahDean,Berwick-EvansDaniel,TolmanSusan,MineyevIgor
26,AlbinPierre,TysonJeremyT,TolmanSusan,KirkpatrickKayLene,JingXiaochen,ReznickBruce,KermanEly,ReznickBruce
27,TolmanSusan,Berwick-EvansDaniel,RasmussenSarahDean,TzirakisNikolaos,YongAlexanderTF,KatzSheldonH,KatzSheldonH,LermanEugeneM
28,HellerJeremiahBen,DeyParthaSarathi,KirrEduard,LaNaveGabriele,ZharnitskyVadim,DoddChristopher,Berwick-EvansDaniel,FengRunhuan
29,RezkCharlesW,SowersRichardB,FengRunhuan,ThornerJesse,HinkkanenAimo,FadinaTolulope,LaNaveGabriele,RasmussenSarahDean
30,BaryshnikovYuliyM,LermanEugeneM,ReznickBruce,ErdoğanMehmetBurak,KirkpatrickKayLene,JingXiaochen,ReznickBruce,DeyParthaSarathi
31,Berwick-EvansDaniel,KirrEduard,ZaharescuAlexandru,AhlgrenScottD,DunfieldNathanM,RasmussenSarahDean,KirrEduard,LeditzkyFelix
32,DeyParthaSarathi,ReznickBruce,AhlgrenScottD,HurVeraMikyoung,AhlgrenScottD,HinkkanenAimo,AlbinPierre,HinkkanenAimo
33,KirrEduard,SongRenming,JingXiaochen,JungeMarius,TzirakisNikolaos,KirkpatrickKayLene,RasmussenSarahDean,KirrEduard
34,ReznickBruce,FengRunhuan,KirkpatrickKayLene,OikhbergTimur,ThornerJesse,ZharnitskyVadim,OikhbergTimur,DunfieldNathanM
35,RasmussenSarahDean,RasmussenJacob,ThornerJesse,KutzarovaDenkaN,TysonJeremyT,AhlgrenScottD,ErdoğanMehmetBurak,AhlgrenScottD
36,LermanEugeneM,KirkpatrickKayLene,DiFrancescoPhilippe,KedemRinat,LermanEugeneM,ThornerJesse,KirkpatrickKayLene,RasmussenJacob
37,HinkkanenAimo,LeditzkyFelix,HurVeraMikyoung,DiFrancescoPhilippe,RasmussenJacob,LeditzkyFelix,TysonJeremyT,ThornerJesse
38,SongRenming,ZharnitskyVadim,ZharnitskyVadim,RaptiZoi,LeditzkyFelix,HaboushWilliamJ,TzirakisNikolaos,DiFrancescoPhilippe
39,RasmussenJacob,JingXiaochen,KedemRinat,DeVilleRELee,ErdoğanMehmetBurak,HurVeraMikyoung,RasmussenJacob,HurVeraMikyoung
40,ZharnitskyVadim,AhlgrenScottD,TzirakisNikolaos,HellerJeremiahBen,BaryshnikovYuliyM,ErdoğanMehmetBurak,HinkkanenAimo,ZaharescuAlexandru
41,KirkpatrickKayLene,RasmussenSarahDean,ErdoğanMehmetBurak,LeditzkyFelix,HurVeraMikyoung,JungeMarius,BronskiJaredC,KutzarovaDenkaN
42,AhlgrenScottD,ThornerJesse,OikhbergTimur,BronskiJaredC,JungeMarius,RasmussenJacob,LermanEugeneM,FordKevinB
