,0
0,StojanoskaVesna
1,RezkCharlesW
2,HellerJeremiahBen
3,McCarthyRandy
4,KatzSheldonH
5,DuursmaIwanMaynard
6,RasmussenJacob
7,DoddChristopher
8,DunfieldNathanM
9,PascaleffJamesThomas
10,TolmanSusan
11,LaNaveGabriele
12,RasmussenSarahDean
13,LermanEugeneM
14,LiuYuan
15,JandaFelix
16,Berwick-EvansDaniel
17,DuttaSankarPrasad
18,HaboushWilliamJ
19,KedemRinat
20,DiFrancescoPhilippe
21,IvanovSergeiVladimirovich
22,BradlowStevenBenjamin
23,MineyevIgor
24,YongAlexanderTF
25,FernandesRuiLoja
26,AhlgrenScottD
27,KermanEly
28,AlbinPierre
29,ZaharescuAlexandru
30,GuzmanRosemaryK
31,NikolaevIgorG
32,BocaFlorin-Petre
33,LeditzkyFelix
34,JingXiaochen
35,FengRunhuan
36,WuXuan
37,HungPei-Ken
38,WeiWei
39,FadinaTolulope
40,FordKevinB
41,KostochkaAlexandrV
42,ReznickBruce
43,ThornerJesse
44,BaloghJózsef
45,KutzarovaDenkaN
46,HinkkanenAimo
47,CooneyDanielB
48,OikhbergTimur
49,JungeMarius
50,YoungAmanda
51,DeyParthaSarathi
52,SongRenming
53,TumanovAlexander
54,SowersRichardB
55,TysonJeremyT
56,HiraniAnilN
57,LaugesenRichardSnyder
58,BaryshnikovYuliyM
59,DeVilleRELee
60,KirkpatrickKayLene
61,RaptiZoi
62,LiXiaochun
63,HurVeraMikyoung
64,KirrEduard
65,BronskiJaredC
66,ZharnitskyVadim
67,TzirakisNikolaos
68,ErdoğanMehmetBurak
